ServiceNo,Direction,StopSequence,Distance,Category,Description,Interchange,Freq_of_Buses_during_Peak_Period,Freq_of_Buses_during_OffPeak_Period
10,1,1,0.0,TRUNK,Tampines Int,Has Interchange,9.0,8.0
10,1,2,0.6,TRUNK,Opp Our Tampines Hub,Does Not Have Interchange,9.0,8.0
10,1,3,1.1,TRUNK,Blk 147,Does Not Have Interchange,9.0,8.0
10,1,4,2.3,TRUNK,Changi General Hosp,Does Not Have Interchange,9.0,8.0
10,1,5,2.7,TRUNK,Opp Blk 3012,Does Not Have Interchange,9.0,8.0
10,1,6,3.3,TRUNK,Flextronic,Does Not Have Interchange,9.0,8.0
10,1,7,3.5,TRUNK,Bef Jln Chempaka Kuning,Does Not Have Interchange,9.0,8.0
10,1,8,3.8,TRUNK,Bedok Mkt Pl,Does Not Have Interchange,9.0,8.0
10,1,9,4.1,TRUNK,Bef Jln Chempaka Kuning,Does Not Have Interchange,9.0,8.0
10,1,10,4.5,TRUNK,Opp Man Fatt Lam Tp,Does Not Have Interchange,9.0,8.0
10,1,11,4.8,TRUNK,Opp Excelsior Gdns,Does Not Have Interchange,9.0,8.0
10,1,12,5.0,TRUNK,Aft Bedok Meth Ch,Does Not Have Interchange,9.0,8.0
10,1,13,5.2,TRUNK,Eastwood Ctr,Does Not Have Interchange,9.0,8.0
10,1,14,5.5,TRUNK,Bedok Camp 2,Does Not Have Interchange,9.0,8.0
10,1,15,6.1,TRUNK,Opp Kew Green Condo,Does Not Have Interchange,9.0,8.0
10,1,16,6.4,TRUNK,Temasek Sec Sch,Does Not Have Interchange,9.0,8.0
10,1,17,6.8,TRUNK,Aft Bedok Sth Ave 3,Does Not Have Interchange,9.0,8.0
10,1,18,7.0,TRUNK,Calvary Ably Of God Ch,Does Not Have Interchange,9.0,8.0
10,1,19,7.3,TRUNK,Opp The Summit,Does Not Have Interchange,9.0,8.0
10,1,20,7.7,TRUNK,Aft Sennet Rd,Does Not Have Interchange,9.0,8.0
10,1,21,7.9,TRUNK,Opp Evergreen Ave,Does Not Have Interchange,9.0,8.0
10,1,22,8.3,TRUNK,Siglap Sth CC,Does Not Have Interchange,9.0,8.0
10,1,23,8.8,TRUNK,Opp Goodwill Ct,Does Not Have Interchange,9.0,8.0
10,1,24,9.1,TRUNK,Opp Springvale,Does Not Have Interchange,9.0,8.0
10,1,25,9.4,TRUNK,Aft Siglap Rd,Does Not Have Interchange,9.0,8.0
10,1,26,9.8,TRUNK,Aft Jln Buloh Perindu,Does Not Have Interchange,9.0,8.0
10,1,27,10.1,TRUNK,ST. PATRICK'S SCH,Does Not Have Interchange,9.0,8.0
10,1,28,10.4,TRUNK,St. Patrick's Green,Does Not Have Interchange,9.0,8.0
10,1,29,10.7,TRUNK,Opp Katong Omega Apt,Does Not Have Interchange,9.0,8.0
10,1,30,11.2,TRUNK,The Holy Family Ch,Does Not Have Interchange,9.0,8.0
10,1,31,11.7,TRUNK,Roxy Sq,Does Not Have Interchange,9.0,8.0
10,1,32,11.9,TRUNK,Opp Katong Shop Ctr,Does Not Have Interchange,9.0,8.0
10,1,33,12.2,TRUNK,One Amber,Does Not Have Interchange,9.0,8.0
10,1,34,12.7,TRUNK,Aft Katong PO,Does Not Have Interchange,9.0,8.0
10,1,35,13.1,TRUNK,Opp Tg Katong Girls' Sch,Does Not Have Interchange,9.0,8.0
10,1,36,13.9,TRUNK,BEF OLD AIRPORT RD,Does Not Have Interchange,9.0,8.0
10,1,37,14.2,TRUNK,Dakota Stn Exit B/Blk 60,Does Not Have Interchange,9.0,8.0
10,1,38,14.7,TRUNK,Blk 22,Does Not Have Interchange,9.0,8.0
10,1,39,15.3,TRUNK,Opp S.A. Deaf,Does Not Have Interchange,9.0,8.0
10,1,40,16.0,TRUNK,Natl Stadium,Does Not Have Interchange,9.0,8.0
10,1,41,17.4,TRUNK,Nicoll Highway Stn,Does Not Have Interchange,9.0,8.0
10,1,42,18.1,TRUNK,Suntec City,Does Not Have Interchange,9.0,8.0
10,1,43,18.6,TRUNK,Opp War Memorial Pk,Does Not Have Interchange,9.0,8.0
10,1,44,19.6,TRUNK,OUE Bayfront,Does Not Have Interchange,9.0,8.0
10,1,45,19.9,TRUNK,One Raffles Quay,Does Not Have Interchange,9.0,8.0
10,1,46,20.3,TRUNK,UIC Bldg,Does Not Have Interchange,9.0,8.0
10,1,47,20.7,TRUNK,Opp AXA Twr,Does Not Have Interchange,9.0,8.0
10,1,48,21.6,TRUNK,Opp Customs Port Br HQ,Does Not Have Interchange,9.0,8.0
10,1,49,21.9,TRUNK,Opp Former Railway Stn,Does Not Have Interchange,9.0,8.0
10,1,50,22.4,TRUNK,Keppel Workshop,Does Not Have Interchange,9.0,8.0
10,1,51,22.8,TRUNK,Tg Pagar DP Blk F5,Does Not Have Interchange,9.0,8.0
10,1,52,23.2,TRUNK,Opp Keppel DP Blk 517,Does Not Have Interchange,9.0,8.0
10,1,53,24.0,TRUNK,VivoCity,Does Not Have Interchange,9.0,8.0
10,1,54,24.3,TRUNK,Harbourfront Stn Exit B,Does Not Have Interchange,9.0,8.0
10,1,55,24.7,TRUNK,Caribbean at Keppel Bay,Does Not Have Interchange,9.0,8.0
10,1,56,25.2,TRUNK,Opp Chr Community Chapel,Does Not Have Interchange,9.0,8.0
10,1,57,25.6,TRUNK,Telok Blangah Stn,Does Not Have Interchange,9.0,8.0
10,1,58,26.0,TRUNK,Opp Yeo's Bldg,Does Not Have Interchange,9.0,8.0
10,1,59,26.7,TRUNK,Labrador Pk Stn,Does Not Have Interchange,9.0,8.0
10,1,60,27.0,TRUNK,Opp Mapletree Biz City,Does Not Have Interchange,9.0,8.0
10,1,61,27.2,TRUNK,Pasir Panjang Ctr,Does Not Have Interchange,9.0,8.0
10,1,62,27.7,TRUNK,Pasir Panjang Stn/Fc,Does Not Have Interchange,9.0,8.0
10,1,63,28.0,TRUNK,Aft Pasir Panjang Stn,Does Not Have Interchange,9.0,8.0
10,1,64,28.6,TRUNK,Aft Sth Buona Vista Rd,Does Not Have Interchange,9.0,8.0
10,1,65,28.9,TRUNK,Barossa Gdns,Does Not Have Interchange,9.0,8.0
10,1,66,29.2,TRUNK,Opp Haw Par Villa Stn,Does Not Have Interchange,9.0,8.0
10,1,67,29.7,TRUNK,Opp Gloria Man,Does Not Have Interchange,9.0,8.0
10,1,68,30.0,TRUNK,Opp S'pore Science Pk II,Does Not Have Interchange,9.0,8.0
10,1,69,30.2,TRUNK,OPP LUXE VILLE,Does Not Have Interchange,9.0,8.0
10,1,70,30.5,TRUNK,The Crystal Tabernacle Ch,Does Not Have Interchange,9.0,8.0
10,1,71,30.7,TRUNK,Opp Heng Mui Keng Terr,Does Not Have Interchange,9.0,8.0
10,1,72,30.9,TRUNK,Opp Pasir Panjang PO,Does Not Have Interchange,9.0,8.0
10,1,73,31.2,TRUNK,Aft Palm Green Condo,Does Not Have Interchange,9.0,8.0
10,1,74,31.7,TRUNK,Kent Ridge Ter,Does Not Have Interchange,9.0,8.0
10,2,1,0.0,TRUNK,Kent Ridge Ter,Does Not Have Interchange,9.0,11.0
10,2,2,0.4,TRUNK,Aft Clementi Rd,Does Not Have Interchange,9.0,11.0
10,2,3,0.7,TRUNK,Bef Pasir Panjang PO,Does Not Have Interchange,9.0,11.0
10,2,4,1.0,TRUNK,Heng Mui Keng Terr,Does Not Have Interchange,9.0,11.0
10,2,5,1.3,TRUNK,Jamiyah Halfway Hse,Does Not Have Interchange,9.0,11.0
10,2,6,1.5,TRUNK,WHITEHAVEN,Does Not Have Interchange,9.0,11.0
10,2,7,1.7,TRUNK,S'pore Science Pk II,Does Not Have Interchange,9.0,11.0
10,2,8,2.0,TRUNK,Gloria Man,Does Not Have Interchange,9.0,11.0
10,2,9,2.5,TRUNK,Haw Par Villa Stn,Does Not Have Interchange,9.0,11.0
10,2,10,2.7,TRUNK,HORIZON RESIDENCES,Does Not Have Interchange,9.0,11.0
10,2,11,3.0,TRUNK,Bef Sth Buona Vista Rd,Does Not Have Interchange,9.0,11.0
10,2,12,3.2,TRUNK,Pasir View Pk,Does Not Have Interchange,9.0,11.0
10,2,13,3.6,TRUNK,Bef Pasir Panjang Stn,Does Not Have Interchange,9.0,11.0
10,2,14,3.9,TRUNK,Opp Currency Hse,Does Not Have Interchange,9.0,11.0
10,2,15,4.4,TRUNK,Harbourside Ind Bldg 2,Does Not Have Interchange,9.0,11.0
10,2,16,4.6,TRUNK,Mapletree Business City,Does Not Have Interchange,9.0,11.0
10,2,17,4.9,TRUNK,Labrador Pk Stn/PSA Bldg,Does Not Have Interchange,9.0,11.0
10,2,18,5.3,TRUNK,Aft Alexandra Rd,Does Not Have Interchange,9.0,11.0
10,2,19,5.6,TRUNK,Yeo's Bldg,Does Not Have Interchange,9.0,11.0
10,2,20,6.0,TRUNK,Opp Telok Blangah Stn,Does Not Have Interchange,9.0,11.0
10,2,21,6.5,TRUNK,Bef Chr Community Chapel,Does Not Have Interchange,9.0,11.0
10,2,22,6.9,TRUNK,Bef Seah Im Rd,Does Not Have Interchange,9.0,11.0
10,2,23,7.4,TRUNK,Harbourfront Stn Exit A,Does Not Have Interchange,9.0,11.0
10,2,24,7.7,TRUNK,Opp VivoCity,Does Not Have Interchange,9.0,11.0
10,2,25,8.4,TRUNK,Keppel DP Blk 517,Does Not Have Interchange,9.0,11.0
10,2,26,8.8,TRUNK,Opp Tg Pagar DP Blk F5,Does Not Have Interchange,9.0,11.0
10,2,27,9.7,TRUNK,Former Railway Stn,Does Not Have Interchange,9.0,11.0
10,2,28,10.2,TRUNK,Customs Port Br HQ,Does Not Have Interchange,9.0,11.0
10,2,29,10.6,TRUNK,Hub Synergy Pt,Does Not Have Interchange,9.0,11.0
10,2,30,11.3,TRUNK,Aft Capital Twr,Does Not Have Interchange,9.0,11.0
10,2,31,11.6,TRUNK,OPP SO SOFITEL S'PORE,Does Not Have Interchange,9.0,11.0
10,2,32,11.9,TRUNK,Raffles Pl Stn Exit F,Does Not Have Interchange,9.0,11.0
10,2,33,12.5,TRUNK,Fullerton Sq,Does Not Have Interchange,9.0,11.0
10,2,34,13.1,TRUNK,Esplanade Bridge,Does Not Have Interchange,9.0,11.0
10,2,35,13.8,TRUNK,Opp Suntec City,Does Not Have Interchange,9.0,11.0
10,2,36,14.5,TRUNK,Opp Nicoll Highway Stn,Does Not Have Interchange,9.0,11.0
10,2,37,16.1,TRUNK,Opp Natl Stadium,Does Not Have Interchange,9.0,11.0
10,2,38,16.7,TRUNK,S.A. Deaf,Does Not Have Interchange,9.0,11.0
10,2,39,17.3,TRUNK,Blk 39,Does Not Have Interchange,9.0,11.0
10,2,40,17.8,TRUNK,Dakota Stn Exit A/Blk 99,Does Not Have Interchange,9.0,11.0
10,2,41,18.2,TRUNK,AFT OLD AIRPORT RD,Does Not Have Interchange,9.0,11.0
10,2,42,18.7,TRUNK,Tg Katong Girls' Sch,Does Not Have Interchange,9.0,11.0
10,2,43,19.1,TRUNK,Bef Katong PO,Does Not Have Interchange,9.0,11.0
10,2,44,19.7,TRUNK,Opp One Amber,Does Not Have Interchange,9.0,11.0
10,2,45,20.0,TRUNK,Katong Shop Ctr,Does Not Have Interchange,9.0,11.0
10,2,46,20.2,TRUNK,Opp Roxy Sq,Does Not Have Interchange,9.0,11.0
10,2,47,20.7,TRUNK,Opp The Holy Family Ch,Does Not Have Interchange,9.0,11.0
10,2,48,21.2,TRUNK,Katong Omega Apt,Does Not Have Interchange,9.0,11.0
10,2,49,21.6,TRUNK,Nafa Arts Kindergarten,Does Not Have Interchange,9.0,11.0
10,2,50,21.8,TRUNK,Christ Meth Ch,Does Not Have Interchange,9.0,11.0
10,2,51,22.1,TRUNK,Aft Dunbar Wk,Does Not Have Interchange,9.0,11.0
10,2,52,22.5,TRUNK,Bef Siglap Rd,Does Not Have Interchange,9.0,11.0
10,2,53,22.9,TRUNK,Crescendo Bldg,Does Not Have Interchange,9.0,11.0
10,2,54,23.3,TRUNK,Opp Chiang Ct,Does Not Have Interchange,9.0,11.0
10,2,55,23.6,TRUNK,Opp Siglap Sth CC,Does Not Have Interchange,9.0,11.0
10,2,56,24.0,TRUNK,Evergreen Gdn,Does Not Have Interchange,9.0,11.0
10,2,57,24.4,TRUNK,Bef Sennett Rd,Does Not Have Interchange,9.0,11.0
10,2,58,24.7,TRUNK,The Summit,Does Not Have Interchange,9.0,11.0
10,2,59,25.1,TRUNK,Aft Parbury Ave,Does Not Have Interchange,9.0,11.0
10,2,60,25.5,TRUNK,Opp Temasek Sec Sch,Does Not Have Interchange,9.0,11.0
10,2,61,26.0,TRUNK,Kew Green Condo,Does Not Have Interchange,9.0,11.0
10,2,62,26.5,TRUNK,Opp Bedok Camp 2,Does Not Have Interchange,9.0,11.0
10,2,63,26.9,TRUNK,Country Pk,Does Not Have Interchange,9.0,11.0
10,2,64,27.3,TRUNK,Excelsior Gdns,Does Not Have Interchange,9.0,11.0
10,2,65,27.5,TRUNK,Man Fatt Lam Tp,Does Not Have Interchange,9.0,11.0
10,2,66,27.9,TRUNK,Aft Jln Chempaka Kuning,Does Not Have Interchange,9.0,11.0
10,2,67,28.2,TRUNK,Opp Bedok Mkt Pl,Does Not Have Interchange,9.0,11.0
10,2,68,28.4,TRUNK,Bef Jln Pari Burong,Does Not Have Interchange,9.0,11.0
10,2,69,28.7,TRUNK,Bef Changi Fire Stn,Does Not Have Interchange,9.0,11.0
10,2,70,29.1,TRUNK,Blk 3012,Does Not Have Interchange,9.0,11.0
10,2,71,29.5,TRUNK,Opp Changi General Hosp,Does Not Have Interchange,9.0,11.0
10,2,72,30.8,TRUNK,Blk 938,Does Not Have Interchange,9.0,11.0
10,2,73,31.3,TRUNK,Our Tampines Hub,Does Not Have Interchange,9.0,11.0
10,2,74,31.9,TRUNK,Tampines Int,Has Interchange,9.0,11.0
100,1,1,0.0,TRUNK,S'Goon Int,Has Interchange,6.0,9.0
100,1,2,0.6,TRUNK,Blk 403,Does Not Have Interchange,6.0,9.0
100,1,3,0.9,TRUNK,Aft Sunshine Lodge,Does Not Have Interchange,6.0,9.0
100,1,4,1.2,TRUNK,Aft Bartley Rd,Does Not Have Interchange,6.0,9.0
100,1,5,1.6,TRUNK,Woodleigh Stn Exit A,Does Not Have Interchange,6.0,9.0
100,1,6,2.0,TRUNK,Aft Bidadari Pk Dr,Does Not Have Interchange,6.0,9.0
100,1,7,2.7,TRUNK,Aft Joo Seng Rd,Does Not Have Interchange,6.0,9.0
100,1,8,2.9,TRUNK,Aft Blk 4,Does Not Have Interchange,6.0,9.0
100,1,9,3.3,TRUNK,Aljunied Pk,Does Not Have Interchange,6.0,9.0
100,1,10,3.6,TRUNK,Aft Canossa Convent Pr,Does Not Have Interchange,6.0,9.0
100,1,11,4.0,TRUNK,Blk 125,Does Not Have Interchange,6.0,9.0
100,1,12,4.4,TRUNK,Blk 102,Does Not Have Interchange,6.0,9.0
100,1,13,4.7,TRUNK,Aljunied Stn,Does Not Have Interchange,6.0,9.0
100,1,14,5.2,TRUNK,Bef Lor 18 Geylang,Does Not Have Interchange,6.0,9.0
100,1,15,5.6,TRUNK,Opp Mohd Salleh Mque,Does Not Have Interchange,6.0,9.0
100,1,16,6.1,TRUNK,Aft Sims Way,Does Not Have Interchange,6.0,9.0
100,1,17,6.3,TRUNK,Opp Lor 1 Geylang Ter,Does Not Have Interchange,6.0,9.0
100,1,18,6.8,TRUNK,Bef Kg Bugis,Does Not Have Interchange,6.0,9.0
100,1,19,7.3,TRUNK,Bef Crawford Bridge,Does Not Have Interchange,6.0,9.0
100,1,20,7.6,TRUNK,Opp Blk 4,Does Not Have Interchange,6.0,9.0
100,1,21,8.0,TRUNK,Golden Mile Cplx,Does Not Have Interchange,6.0,9.0
100,1,22,8.2,TRUNK,St. John HQ,Does Not Have Interchange,6.0,9.0
100,1,23,8.6,TRUNK,Plaza Parkroyal,Does Not Have Interchange,6.0,9.0
100,1,24,8.8,TRUNK,The Gateway,Does Not Have Interchange,6.0,9.0
100,1,25,9.2,TRUNK,Shaw Twrs,Does Not Have Interchange,6.0,9.0
100,1,26,9.6,TRUNK,Esplanade Stn Exit F,Does Not Have Interchange,6.0,9.0
100,1,27,10.4,TRUNK,Opp S'pore Cricket Club,Does Not Have Interchange,6.0,9.0
100,1,28,11.0,TRUNK,OUE Bayfront,Does Not Have Interchange,6.0,9.0
100,1,29,11.3,TRUNK,One Raffles Quay,Does Not Have Interchange,6.0,9.0
100,1,30,11.7,TRUNK,UIC Bldg,Does Not Have Interchange,6.0,9.0
100,1,31,12.1,TRUNK,Opp AXA Twr,Does Not Have Interchange,6.0,9.0
100,1,32,13.0,TRUNK,Opp Customs Port Br HQ,Does Not Have Interchange,6.0,9.0
100,1,33,13.3,TRUNK,Opp Former Railway Stn,Does Not Have Interchange,6.0,9.0
100,1,34,13.8,TRUNK,Keppel Workshop,Does Not Have Interchange,6.0,9.0
100,1,35,14.2,TRUNK,Tg Pagar DP Blk F5,Does Not Have Interchange,6.0,9.0
100,1,36,14.6,TRUNK,Opp Keppel DP Blk 517,Does Not Have Interchange,6.0,9.0
100,1,37,15.4,TRUNK,VivoCity,Does Not Have Interchange,6.0,9.0
100,1,38,15.7,TRUNK,Harbourfront Stn Exit B,Does Not Have Interchange,6.0,9.0
100,1,39,16.1,TRUNK,Caribbean at Keppel Bay,Does Not Have Interchange,6.0,9.0
100,1,40,16.6,TRUNK,Opp Chr Community Chapel,Does Not Have Interchange,6.0,9.0
100,1,41,17.0,TRUNK,Telok Blangah Stn,Does Not Have Interchange,6.0,9.0
100,1,42,17.4,TRUNK,Opp Yeo's Bldg,Does Not Have Interchange,6.0,9.0
100,1,43,18.1,TRUNK,Aft PSA Bldg,Does Not Have Interchange,6.0,9.0
100,1,44,18.4,TRUNK,Alexandra Pt,Does Not Have Interchange,6.0,9.0
100,1,45,18.9,TRUNK,Aft Hortpark,Does Not Have Interchange,6.0,9.0
100,1,46,19.5,TRUNK,Alexandra Hosp,Does Not Have Interchange,6.0,9.0
100,1,47,20.0,TRUNK,Aft Queenstown NPC HQ,Does Not Have Interchange,6.0,9.0
100,1,48,20.3,TRUNK,Opp Queen's Cl,Does Not Have Interchange,6.0,9.0
100,1,49,21.0,TRUNK,Aft C'wealth Dr,Does Not Have Interchange,6.0,9.0
100,1,50,21.4,TRUNK,Opp Queenstown Polyclinic,Does Not Have Interchange,6.0,9.0
100,1,51,21.9,TRUNK,C'Wealth Stn Exit A/D,Does Not Have Interchange,6.0,9.0
100,1,52,22.4,TRUNK,Opp Blk 7B,Does Not Have Interchange,6.0,9.0
100,1,53,22.8,TRUNK,Opp Blk 43,Does Not Have Interchange,6.0,9.0
100,1,54,23.3,TRUNK,Blk 13,Does Not Have Interchange,6.0,9.0
100,1,55,23.6,TRUNK,Ghim Moh Ter,Does Not Have Interchange,6.0,9.0
100,2,1,0.0,TRUNK,Ghim Moh Ter,Does Not Have Interchange,7.0,9.0
100,2,2,0.2,TRUNK,Opp Blk 13,Does Not Have Interchange,7.0,9.0
100,2,3,0.6,TRUNK,Blk 43,Does Not Have Interchange,7.0,9.0
100,2,4,0.8,TRUNK,Blk 8,Does Not Have Interchange,7.0,9.0
100,2,5,1.4,TRUNK,C'Wealth Stn Exit B/C,Does Not Have Interchange,7.0,9.0
100,2,6,2.0,TRUNK,Queenstown Polyclinic,Does Not Have Interchange,7.0,9.0
100,2,7,2.4,TRUNK,Opp Blessed Sacrament Ch,Does Not Have Interchange,7.0,9.0
100,2,8,2.8,TRUNK,Blk 19,Does Not Have Interchange,7.0,9.0
100,2,9,3.2,TRUNK,Blk 166,Does Not Have Interchange,7.0,9.0
100,2,10,3.8,TRUNK,Opp Queensway Shop Ctr,Does Not Have Interchange,7.0,9.0
100,2,11,4.5,TRUNK,Bef Telok Blangah Hill Pk,Does Not Have Interchange,7.0,9.0
100,2,12,5.0,TRUNK,Opp Alexandra Pt,Does Not Have Interchange,7.0,9.0
100,2,13,5.3,TRUNK,Bef PSA Bldg,Does Not Have Interchange,7.0,9.0
100,2,14,5.7,TRUNK,Aft Alexandra Rd,Does Not Have Interchange,7.0,9.0
100,2,15,6.0,TRUNK,Yeo's Bldg,Does Not Have Interchange,7.0,9.0
100,2,16,6.4,TRUNK,Opp Telok Blangah Stn,Does Not Have Interchange,7.0,9.0
100,2,17,6.9,TRUNK,Bef Chr Community Chapel,Does Not Have Interchange,7.0,9.0
100,2,18,7.3,TRUNK,Bef Seah Im Rd,Does Not Have Interchange,7.0,9.0
100,2,19,7.8,TRUNK,Harbourfront Stn Exit A,Does Not Have Interchange,7.0,9.0
100,2,20,8.1,TRUNK,Opp VivoCity,Does Not Have Interchange,7.0,9.0
100,2,21,8.8,TRUNK,Keppel DP Blk 517,Does Not Have Interchange,7.0,9.0
100,2,22,9.2,TRUNK,Opp Tg Pagar DP Blk F5,Does Not Have Interchange,7.0,9.0
100,2,23,10.1,TRUNK,Former Railway Stn,Does Not Have Interchange,7.0,9.0
100,2,24,10.6,TRUNK,Customs Port Br HQ,Does Not Have Interchange,7.0,9.0
100,2,25,11.0,TRUNK,Hub Synergy Pt,Does Not Have Interchange,7.0,9.0
100,2,26,11.7,TRUNK,Aft Capital Twr,Does Not Have Interchange,7.0,9.0
100,2,27,12.3,TRUNK,Raffles Pl Stn Exit F,Does Not Have Interchange,7.0,9.0
100,2,28,12.9,TRUNK,Fullerton Sq,Does Not Have Interchange,7.0,9.0
100,2,29,13.5,TRUNK,Esplanade Bridge,Does Not Have Interchange,7.0,9.0
100,2,30,14.1,TRUNK,Raffles Hotel,Does Not Have Interchange,7.0,9.0
100,2,31,14.3,TRUNK,Opp Shaw Twrs,Does Not Have Interchange,7.0,9.0
100,2,32,14.6,TRUNK,Opp The Gateway,Does Not Have Interchange,7.0,9.0
100,2,33,14.9,TRUNK,Opp Plaza Parkroyal,Does Not Have Interchange,7.0,9.0
100,2,34,15.2,TRUNK,Opp St. John HQ,Does Not Have Interchange,7.0,9.0
100,2,35,15.5,TRUNK,Opp Golden Mile Cplx,Does Not Have Interchange,7.0,9.0
100,2,36,16.0,TRUNK,Southbank,Does Not Have Interchange,7.0,9.0
100,2,37,16.7,TRUNK,AFT PADANG JERINGAU,Does Not Have Interchange,7.0,9.0
100,2,38,17.2,TRUNK,Kallang Stn,Does Not Have Interchange,7.0,9.0
100,2,39,17.5,TRUNK,Aft Lor 1 Geylang,Does Not Have Interchange,7.0,9.0
100,2,40,17.9,TRUNK,Yi Xiu Fty Bldg,Does Not Have Interchange,7.0,9.0
100,2,41,18.4,TRUNK,Bef Lor 23 Geylang,Does Not Have Interchange,7.0,9.0
100,2,42,18.6,TRUNK,Opp Aljunied Stn,Does Not Have Interchange,7.0,9.0
100,2,43,19.0,TRUNK,Opp Blk 105,Does Not Have Interchange,7.0,9.0
100,2,44,19.4,TRUNK,Opp Blk 125,Does Not Have Interchange,7.0,9.0
100,2,45,19.8,TRUNK,Opp Canossa Convent Pr,Does Not Have Interchange,7.0,9.0
100,2,46,20.1,TRUNK,Opp Aljunied Pk,Does Not Have Interchange,7.0,9.0
100,2,47,20.6,TRUNK,Opp Blk 4,Does Not Have Interchange,7.0,9.0
100,2,48,20.9,TRUNK,Aft Joo Seng Rd,Does Not Have Interchange,7.0,9.0
100,2,49,21.4,TRUNK,Bef Bidadari Pk Dr,Does Not Have Interchange,7.0,9.0
100,2,50,21.9,TRUNK,Woodleigh Stn Exit B,Does Not Have Interchange,7.0,9.0
100,2,51,22.2,TRUNK,Bef Braddell Rd,Does Not Have Interchange,7.0,9.0
100,2,52,22.6,TRUNK,Aft Sommerville Rd,Does Not Have Interchange,7.0,9.0
100,2,53,22.8,TRUNK,Aft Wolskel Rd,Does Not Have Interchange,7.0,9.0
100,2,54,23.3,TRUNK,S'Goon Int,Has Interchange,7.0,9.0
100A,1,1,0.0,TRUNK,S'Goon Int,Has Interchange,15.0,10.0
100A,1,2,0.6,TRUNK,Blk 403,Does Not Have Interchange,15.0,10.0
100A,1,3,0.9,TRUNK,Aft Sunshine Lodge,Does Not Have Interchange,15.0,10.0
100A,1,4,1.2,TRUNK,Aft Bartley Rd,Does Not Have Interchange,15.0,10.0
100A,1,5,1.6,TRUNK,Woodleigh Stn Exit A,Does Not Have Interchange,15.0,10.0
100A,1,6,2.0,TRUNK,Aft Bidadari Pk Dr,Does Not Have Interchange,15.0,10.0
100A,1,7,2.7,TRUNK,Aft Joo Seng Rd,Does Not Have Interchange,15.0,10.0
100A,1,8,2.9,TRUNK,Aft Blk 4,Does Not Have Interchange,15.0,10.0
100A,1,9,3.3,TRUNK,Aljunied Pk,Does Not Have Interchange,15.0,10.0
100A,1,10,3.6,TRUNK,Aft Canossa Convent Pr,Does Not Have Interchange,15.0,10.0
100A,1,11,4.0,TRUNK,Blk 125,Does Not Have Interchange,15.0,10.0
100A,1,12,4.4,TRUNK,Blk 102,Does Not Have Interchange,15.0,10.0
100A,1,13,4.7,TRUNK,Aljunied Stn,Does Not Have Interchange,15.0,10.0
101,1,1,0.0,TRUNK,S'Goon Int,Has Interchange,8.0,7.0
101,1,2,0.5,TRUNK,S'Goon Stn Exit H,Does Not Have Interchange,8.0,7.0
101,1,3,0.9,TRUNK,Opp Blk 1,Does Not Have Interchange,8.0,7.0
101,1,4,1.4,TRUNK,Opp Upp S'Goon Shop Ctr,Does Not Have Interchange,8.0,7.0
101,1,5,1.9,TRUNK,The Helping Hand,Does Not Have Interchange,8.0,7.0
101,1,6,2.5,TRUNK,Kovan Stn Exit B,Does Not Have Interchange,8.0,7.0
101,1,7,2.8,TRUNK,Opp Glad Tidings Ch,Does Not Have Interchange,8.0,7.0
101,1,8,3.0,TRUNK,Serangoon JC,Does Not Have Interchange,8.0,7.0
101,1,9,3.3,TRUNK,Opp Blk 25,Does Not Have Interchange,8.0,7.0
101,1,10,3.5,TRUNK,Naung Ct,Does Not Have Interchange,8.0,7.0
101,1,11,4.1,TRUNK,Hougang Ctrl Int,Has Interchange,8.0,7.0
101,1,12,4.4,TRUNK,Blk 836,Does Not Have Interchange,8.0,7.0
101,1,13,4.6,TRUNK,Hougang Polyclinic,Does Not Have Interchange,8.0,7.0
101,1,14,4.9,TRUNK,Blk 602,Does Not Have Interchange,8.0,7.0
101,1,15,5.1,TRUNK,Bef Blk 683,Does Not Have Interchange,8.0,7.0
101,1,16,5.4,TRUNK,Opp Montfort Sch,Does Not Have Interchange,8.0,7.0
101,1,17,5.9,TRUNK,Blk 568,Does Not Have Interchange,8.0,7.0
101,1,18,6.2,TRUNK,Hougang G. Shop Mall,Does Not Have Interchange,8.0,7.0
101,1,19,6.5,TRUNK,Blk 579,Does Not Have Interchange,8.0,7.0
101,1,20,6.8,TRUNK,Blk 911,Does Not Have Interchange,8.0,7.0
101,1,21,7.1,TRUNK,Blk 980C,Does Not Have Interchange,8.0,7.0
101,1,22,7.3,TRUNK,Blk 984,Does Not Have Interchange,8.0,7.0
101,1,23,7.5,TRUNK,Outside Blk 991B,Does Not Have Interchange,8.0,7.0
101,1,24,8.0,TRUNK,OPP BLK 991B,Does Not Have Interchange,8.0,7.0
101,1,25,8.2,TRUNK,Opp Blk 984A,Does Not Have Interchange,8.0,7.0
101,1,26,8.4,TRUNK,Opp Blk 980C,Does Not Have Interchange,8.0,7.0
101,1,27,8.6,TRUNK,Opp Blk 910,Does Not Have Interchange,8.0,7.0
101,1,28,8.9,TRUNK,Opp Blk 913,Does Not Have Interchange,8.0,7.0
101,1,29,9.2,TRUNK,Blk 574,Does Not Have Interchange,8.0,7.0
101,1,30,9.7,TRUNK,Montfort Sch,Does Not Have Interchange,8.0,7.0
101,1,31,10.1,TRUNK,Blk 502,Does Not Have Interchange,8.0,7.0
